26-04-11 23:19:50.535 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  lambda_g: 0.1
  lambda_f: 0.05
  deep_w: 0.2
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_test
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-04-11 23:19:50.544 : 训练集大小: 1120
26-04-11 23:19:50.544 : 验证集数量: 720 (每个 sigma 一个 Dataset)
26-04-11 23:19:51.751 : Number of parameter: 3.26M
26-04-11 23:19:51.751 : start training...
26-04-11 23:53:49.956 :   sigma=50: loss=0.0883, psnr=24.0020, ssim=0.6811, attempted=1, valid=1
26-04-11 23:53:49.956 :   sigma=15: loss=0.0536, psnr=29.7580, ssim=0.9273, attempted=1, valid=1
26-04-11 23:53:49.956 :   sigma=25: loss=0.0615, psnr=28.1079, ssim=0.8963, attempted=1, valid=1
26-04-11 23:53:49.956 :   sigma=50: loss=0.0829, psnr=24.8005, ssim=0.7425, attempted=1, valid=1
26-04-11 23:53:49.956 :   sigma=15: loss=0.0530, psnr=29.8266, ssim=0.8967, attempted=1, valid=1
26-04-11 23:53:49.957 :   sigma=25: loss=0.0620, psnr=28.0362, ssim=0.8445, attempted=1, valid=1
26-04-11 23:53:49.957 :   sigma=50: loss=0.0834, psnr=24.9995, ssim=0.6474, attempted=1, valid=1
26-04-11 23:53:49.957 :   sigma=15: loss=0.0490, psnr=29.8993, ssim=0.8285, attempted=1, valid=1
26-04-11 23:53:49.957 :   sigma=25: loss=0.0559, psnr=28.3500, ssim=0.7475, attempted=1, valid=1
26-04-11 23:53:49.957 :   sigma=50: loss=0.0711, psnr=25.8721, ssim=0.5013, attempted=1, valid=1
26-04-11 23:53:49.957 :   sigma=15: loss=0.0419, psnr=31.1653, ssim=0.8130, attempted=1, valid=1
26-04-11 23:53:49.958 :   sigma=25: loss=0.0499, psnr=29.3162, ssim=0.7147, attempted=1, valid=1
26-04-11 23:53:49.958 :   sigma=50: loss=0.0643, psnr=27.2454, ssim=0.5357, attempted=1, valid=1
